Beaverhead	 Montana	9,371	5543	
Big Horn	 Montana	13,124	4995	
Blaine	 Montana	7,044	4226	
Broadwater	 Montana	6,774	1192	
Carbon	 Montana	10,473	2048	Billings, MT Metropolitan Statistical Area
Carter	 Montana	1,415	3340	
Cascade	 Montana	84,414	2698	Great Falls, MT Metropolitan Statistical Area
Chouteau	 Montana	5,895	3973	
Custer	 Montana	11,867	3783	
Daniels	 Montana	1,661	1426	
Dawson	 Montana	8,940	2373	
Deer Lodge	 Montana	9,421	737	
Fallon	 Montana	3,049	1620	
Fergus	 Montana	11,446	4339	
Flathead	 Montana	104,357	5099	Kalispell, MT Micropolitan Statistical Area
Gallatin	 Montana	118,960	2507	Bozeman, MT Micropolitan Statistical Area
Garfield	 Montana	1,173	4668	
Glacier	 Montana	13,778	2995	
Golden Valley	 Montana	823	1175	
Granite	 Montana	3,309	1728	
Hill	 Montana	16,309	2896	
Jefferson	 Montana	12,085	1657	Helena, MT Micropolitan Statistical Area
Judith Basin	 Montana	2,023	1870	
Lake	 Montana	31,134	194	
Lewis and Clark	 Montana	70,973	3461	Helena, MT Micropolitan Statistical Area
Liberty	 Montana	1,959	1430	
Lincoln	 Montana	19,677	3613	
McCone	 Montana	1,729	3587	
Madison	 Montana	8,623	2643	
Meagher	 Montana	1,927	232	
Mineral	 Montana	4,535	1220	
Missoula	 Montana	117,922	2598	Missoula, MT Metropolitan Statistical Area
Musselshell	 Montana	4,730	1867	
Park	 Montana	17,191	2656	
Petroleum	 Montana	496	1654	
Phillips	 Montana	4,217	5140	
Pondera	 Montana	5,898	1625	
Powder River	 Montana	1,694	3297	
Powell	 Montana	6,946	2326	
Prairie	 Montana	1,088	1737	
Ravalli	 Montana	44,174	2394	
Richland	 Montana	11,491	2084	
Roosevelt	 Montana	10,794	2356	
Rosebud	 Montana	8,329	5012	
Sanders	 Montana	12,400	2762	
Sheridan	 Montana	3,539	1677	
Silver Bow	 Montana	35,133	718	Butte-Silver Bow, MT Micropolitan Statistical Area
Stillwater	 Montana	8,963	1795	Billings, MT Metropolitan Statistical Area
Sweet Grass	 Montana	3,678	1855	
Teton	 Montana	6,226	2273	
Toole	 Montana	4,971	1911	
Treasure	 Montana	762	979	
Valley	 Montana	7,578	4921	
Wheatland	 Montana	2,069	1423	
Wibaux	 Montana	937	889	
Yellowstone	 Montana	164,731	2635	Billings, MT Metropolitan Statistical Area
